zip,num_stations,num_incidents,incidents_to_stations_ratio,timestamp
37013,3,4.0,1.3333333333333333,Nov-13hr-16min
37072,2,2.0,1.0,Nov-13hr-16min
37076,1,0.0,0.0,Nov-13hr-16min
37080,1,0.0,0.0,Nov-13hr-16min
37115,2,1.0,0.5,Nov-13hr-16min
37138,1,0.0,0.0,Nov-13hr-16min
37203,2,0.0,0.0,Nov-13hr-16min
37204,1,2.0,2.0,Nov-13hr-16min
37205,2,2.0,1.0,Nov-13hr-16min
37206,2,1.0,0.5,Nov-13hr-16min
37207,3,0.0,0.0,Nov-13hr-16min
37208,1,0.0,0.0,Nov-13hr-16min
37209,2,6.0,3.0,Nov-13hr-16min
37210,2,0.0,0.0,Nov-13hr-16min
37211,4,3.0,0.75,Nov-13hr-16min
37212,2,0.0,0.0,Nov-13hr-16min
37214,2,2.0,1.0,Nov-13hr-16min
37215,1,2.0,2.0,Nov-13hr-16min
37216,1,12.0,12.0,Nov-13hr-16min
37217,1,0.0,0.0,Nov-13hr-16min
37218,1,1.0,1.0,Nov-13hr-16min
37221,2,3.0,1.5,Nov-13hr-16min
37013,3,4.0,1.3333333333333333,Nov-13hr-21min
37072,2,2.0,1.0,Nov-13hr-21min
37076,1,0.0,0.0,Nov-13hr-21min
37080,1,0.0,0.0,Nov-13hr-21min
37115,2,1.0,0.5,Nov-13hr-21min
37138,1,0.0,0.0,Nov-13hr-21min
37203,2,0.0,0.0,Nov-13hr-21min
37204,1,2.0,2.0,Nov-13hr-21min
37205,2,2.0,1.0,Nov-13hr-21min
37206,2,1.0,0.5,Nov-13hr-21min
37207,3,0.0,0.0,Nov-13hr-21min
37208,1,0.0,0.0,Nov-13hr-21min
37209,2,5.0,2.5,Nov-13hr-21min
37210,2,0.0,0.0,Nov-13hr-21min
37211,4,0.0,0.0,Nov-13hr-21min
37212,2,0.0,0.0,Nov-13hr-21min
37214,2,2.0,1.0,Nov-13hr-21min
37215,1,2.0,2.0,Nov-13hr-21min
37216,1,14.0,14.0,Nov-13hr-21min
37217,1,0.0,0.0,Nov-13hr-21min
37218,1,1.0,1.0,Nov-13hr-21min
37221,2,1.0,0.5,Nov-13hr-21min
37013,3,6.0,2.0,Nov-13hr-27min
37072,2,0.0,0.0,Nov-13hr-27min
37076,1,0.0,0.0,Nov-13hr-27min
37080,1,0.0,0.0,Nov-13hr-27min
37115,2,1.0,0.5,Nov-13hr-27min
37138,1,0.0,0.0,Nov-13hr-27min
37203,2,0.0,0.0,Nov-13hr-27min
37204,1,2.0,2.0,Nov-13hr-27min
37205,2,2.0,1.0,Nov-13hr-27min
37206,2,1.0,0.5,Nov-13hr-27min
37207,3,0.0,0.0,Nov-13hr-27min
37208,1,0.0,0.0,Nov-13hr-27min
37209,2,5.0,2.5,Nov-13hr-27min
37210,2,0.0,0.0,Nov-13hr-27min
37211,4,0.0,0.0,Nov-13hr-27min
37212,2,0.0,0.0,Nov-13hr-27min
37214,2,0.0,0.0,Nov-13hr-27min
37215,1,2.0,2.0,Nov-13hr-27min
37216,1,8.0,8.0,Nov-13hr-27min
37217,1,0.0,0.0,Nov-13hr-27min
37218,1,1.0,1.0,Nov-13hr-27min
37221,2,1.0,0.5,Nov-13hr-27min
37013,3,6.0,2.0,Nov-13hr-32min
37072,2,0.0,0.0,Nov-13hr-32min
37076,1,0.0,0.0,Nov-13hr-32min
37080,1,0.0,0.0,Nov-13hr-32min
37115,2,1.0,0.5,Nov-13hr-32min
37138,1,0.0,0.0,Nov-13hr-32min
37203,2,0.0,0.0,Nov-13hr-32min
37204,1,2.0,2.0,Nov-13hr-32min
37205,2,1.0,0.5,Nov-13hr-32min
37206,2,2.0,1.0,Nov-13hr-32min
37207,3,0.0,0.0,Nov-13hr-32min
37208,1,0.0,0.0,Nov-13hr-32min
37209,2,6.0,3.0,Nov-13hr-32min
37210,2,0.0,0.0,Nov-13hr-32min
37211,4,0.0,0.0,Nov-13hr-32min
37212,2,0.0,0.0,Nov-13hr-32min
37214,2,0.0,0.0,Nov-13hr-32min
37215,1,2.0,2.0,Nov-13hr-32min
37216,1,14.0,14.0,Nov-13hr-32min
37217,1,0.0,0.0,Nov-13hr-32min
37218,1,2.0,2.0,Nov-13hr-32min
37221,2,1.0,0.5,Nov-13hr-32min
37013,3,6.0,2.0,Nov-13hr-37min
37072,2,0.0,0.0,Nov-13hr-37min
37076,1,0.0,0.0,Nov-13hr-37min
37080,1,0.0,0.0,Nov-13hr-37min
37115,2,2.0,1.0,Nov-13hr-37min
37138,1,0.0,0.0,Nov-13hr-37min
37203,2,0.0,0.0,Nov-13hr-37min
37204,1,2.0,2.0,Nov-13hr-37min
37205,2,1.0,0.5,Nov-13hr-37min
37206,2,2.0,1.0,Nov-13hr-37min
37207,3,0.0,0.0,Nov-13hr-37min
37208,1,0.0,0.0,Nov-13hr-37min
37209,2,9.0,4.5,Nov-13hr-37min
37210,2,0.0,0.0,Nov-13hr-37min
37211,4,2.0,0.5,Nov-13hr-37min
37212,2,0.0,0.0,Nov-13hr-37min
37214,2,0.0,0.0,Nov-13hr-37min
37215,1,1.0,1.0,Nov-13hr-37min
37216,1,14.0,14.0,Nov-13hr-37min
