zip,num_stations,num_incidents,incidents_to_stations_ratio,timestamp
37013,3,5.0,1.6666666666666667,Nov-12hr-25min
37072,2,2.0,1.0,Nov-12hr-25min
37076,1,0.0,0.0,Nov-12hr-25min
37080,1,0.0,0.0,Nov-12hr-25min
37115,2,3.0,1.5,Nov-12hr-25min
37138,1,1.0,1.0,Nov-12hr-25min
37203,2,2.0,1.0,Nov-12hr-25min
37204,1,0.0,0.0,Nov-12hr-25min
37205,2,3.0,1.5,Nov-12hr-25min
37206,2,3.0,1.5,Nov-12hr-25min
37207,3,0.0,0.0,Nov-12hr-25min
37208,1,1.0,1.0,Nov-12hr-25min
37209,2,0.0,0.0,Nov-12hr-25min
37210,2,0.0,0.0,Nov-12hr-25min
37211,4,2.0,0.5,Nov-12hr-25min
37212,2,0.0,0.0,Nov-12hr-25min
37214,2,2.0,1.0,Nov-12hr-25min
37215,1,0.0,0.0,Nov-12hr-25min
37216,1,0.0,0.0,Nov-12hr-25min
37217,1,1.0,1.0,Nov-12hr-25min
37218,1,2.0,2.0,Nov-12hr-25min
37221,2,5.0,2.5,Nov-12hr-25min
37013,3,5.0,1.6666666666666667,Nov-12hr-31min
37072,2,2.0,1.0,Nov-12hr-31min
37076,1,0.0,0.0,Nov-12hr-31min
37080,1,0.0,0.0,Nov-12hr-31min
37115,2,3.0,1.5,Nov-12hr-31min
37138,1,1.0,1.0,Nov-12hr-31min
37203,2,1.0,0.5,Nov-12hr-31min
37204,1,0.0,0.0,Nov-12hr-31min
37205,2,3.0,1.5,Nov-12hr-31min
37206,2,3.0,1.5,Nov-12hr-31min
37207,3,0.0,0.0,Nov-12hr-31min
37208,1,2.0,2.0,Nov-12hr-31min
37209,2,0.0,0.0,Nov-12hr-31min
37210,2,0.0,0.0,Nov-12hr-31min
37211,4,2.0,0.5,Nov-12hr-31min
37212,2,0.0,0.0,Nov-12hr-31min
37214,2,2.0,1.0,Nov-12hr-31min
37215,1,0.0,0.0,Nov-12hr-31min
37216,1,0.0,0.0,Nov-12hr-31min
37217,1,1.0,1.0,Nov-12hr-31min
37218,1,2.0,2.0,Nov-12hr-31min
37221,2,6.0,3.0,Nov-12hr-31min
37013,3,5.0,1.6666666666666667,Nov-12hr-36min
37072,2,1.0,0.5,Nov-12hr-36min
37076,1,0.0,0.0,Nov-12hr-36min
37080,1,0.0,0.0,Nov-12hr-36min
37115,2,3.0,1.5,Nov-12hr-36min
37138,1,1.0,1.0,Nov-12hr-36min
37203,2,1.0,0.5,Nov-12hr-36min
37204,1,0.0,0.0,Nov-12hr-36min
37205,2,2.0,1.0,Nov-12hr-36min
37206,2,3.0,1.5,Nov-12hr-36min
37207,3,0.0,0.0,Nov-12hr-36min
37208,1,2.0,2.0,Nov-12hr-36min
37209,2,0.0,0.0,Nov-12hr-36min
37210,2,0.0,0.0,Nov-12hr-36min
37211,4,2.0,0.5,Nov-12hr-36min
37212,2,2.0,1.0,Nov-12hr-36min
37214,2,2.0,1.0,Nov-12hr-36min
37215,1,0.0,0.0,Nov-12hr-36min
37216,1,0.0,0.0,Nov-12hr-36min
37217,1,1.0,1.0,Nov-12hr-36min
37218,1,2.0,2.0,Nov-12hr-36min
37221,2,5.0,2.5,Nov-12hr-36min
37013,3,7.0,2.3333333333333335,Nov-12hr-42min
37072,2,1.0,0.5,Nov-12hr-42min
37076,1,0.0,0.0,Nov-12hr-42min
37080,1,0.0,0.0,Nov-12hr-42min
37115,2,3.0,1.5,Nov-12hr-42min
37138,1,2.0,2.0,Nov-12hr-42min
37203,2,1.0,0.5,Nov-12hr-42min
37204,1,0.0,0.0,Nov-12hr-42min
37205,2,2.0,1.0,Nov-12hr-42min
37206,2,3.0,1.5,Nov-12hr-42min
37207,3,0.0,0.0,Nov-12hr-42min
37208,1,0.0,0.0,Nov-12hr-42min
37209,2,0.0,0.0,Nov-12hr-42min
37210,2,0.0,0.0,Nov-12hr-42min
37211,4,3.0,0.75,Nov-12hr-42min
37212,2,2.0,1.0,Nov-12hr-42min
37214,2,2.0,1.0,Nov-12hr-42min
37215,1,0.0,0.0,Nov-12hr-42min
37216,1,0.0,0.0,Nov-12hr-42min
37217,1,1.0,1.0,Nov-12hr-42min
37218,1,1.0,1.0,Nov-12hr-42min
37221,2,3.0,1.5,Nov-12hr-42min
37013,3,7.0,2.3333333333333335,Nov-12hr-47min
37072,2,1.0,0.5,Nov-12hr-47min
37076,1,0.0,0.0,Nov-12hr-47min
37080,1,0.0,0.0,Nov-12hr-47min
37115,2,3.0,1.5,Nov-12hr-47min
37138,1,2.0,2.0,Nov-12hr-47min
37203,2,1.0,0.5,Nov-12hr-47min
37204,1,0.0,0.0,Nov-12hr-47min
37205,2,2.0,1.0,Nov-12hr-47min
37206,2,1.0,0.5,Nov-12hr-47min
37207,3,0.0,0.0,Nov-12hr-47min
37208,1,0.0,0.0,Nov-12hr-47min
37209,2,0.0,0.0,Nov-12hr-47min
37210,2,0.0,0.0,Nov-12hr-47min
37211,4,3.0,0.75,Nov-12hr-47min
37212,2,2.0,1.0,Nov-12hr-47min
37214,2,2.0,1.0,Nov-12hr-47min
37215,1,0.0,0.0,Nov-12hr-47min
37216,1,0.0,0.0,Nov-12hr-47min
37217,1,1.0,1.0,Nov-12hr-47min
37218,1,1.0,1.0,Nov-12hr-47min
37221,2,3.0,1.5,Nov-12hr-47min
37013,3,6.0,2.0,Nov-12hr-53min
37072,2,1.0,0.5,Nov-12hr-53min
37076,1,0.0,0.0,Nov-12hr-53min
37080,1,0.0,0.0,Nov-12hr-53min
37115,2,4.0,2.0,Nov-12hr-53min
37138,1,0.0,0.0,Nov-12hr-53min
37203,2,1.0,0.5,Nov-12hr-53min
37204,1,0.0,0.0,Nov-12hr-53min
37205,2,3.0,1.5,Nov-12hr-53min
37206,2,1.0,0.5,Nov-12hr-53min
37207,3,0.0,0.0,Nov-12hr-53min
37208,1,0.0,0.0,Nov-12hr-53min
37209,2,0.0,0.0,Nov-12hr-53min
37210,2,0.0,0.0,Nov-12hr-53min
37211,4,3.0,0.75,Nov-12hr-53min
37212,2,2.0,1.0,Nov-12hr-53min
37214,2,1.0,0.5,Nov-12hr-53min
37215,1,0.0,0.0,Nov-12hr-53min
37216,1,0.0,0.0,Nov-12hr-53min
37217,1,2.0,2.0,Nov-12hr-53min
37218,1,1.0,1.0,Nov-12hr-53min
37221,2,3.0,1.5,Nov-12hr-53min
37013,3,8.0,2.6666666666666665,Nov-12hr-58min
37072,2,1.0,0.5,Nov-12hr-58min
37076,1,0.0,0.0,Nov-12hr-58min
37080,1,0.0,0.0,Nov-12hr-58min
37115,2,1.0,0.5,Nov-12hr-58min
37138,1,0.0,0.0,Nov-12hr-58min
37203,2,2.0,1.0,Nov-12hr-58min
37204,1,0.0,0.0,Nov-12hr-58min
37205,2,0.0,0.0,Nov-12hr-58min
37206,2,1.0,0.5,Nov-12hr-58min
37207,3,0.0,0.0,Nov-12hr-58min
37208,1,0.0,0.0,Nov-12hr-58min
37209,2,3.0,1.5,Nov-12hr-58min
37210,2,0.0,0.0,Nov-12hr-58min
37211,4,3.0,0.75,Nov-12hr-58min
37212,2,1.0,0.5,Nov-12hr-58min
37214,2,1.0,0.5,Nov-12hr-58min
37215,1,0.0,0.0,Nov-12hr-58min
37216,1,0.0,0.0,Nov-12hr-58min
37217,1,2.0,2.0,Nov-12hr-58min
37218,1,1.0,1.0,Nov-12hr-58min
37221,2,2.0,1.0,Nov-12hr-58min
