zip,num_stations,num_incidents,incidents_to_stations_ratio
37013,3,5.0,1.6666666666666667
37072,2,0.0,0.0
37076,1,0.0,0.0
37080,1,0.0,0.0
37115,2,3.0,1.5
37138,1,3.0,3.0
37203,2,3.0,1.5
37204,1,3.0,3.0
37205,2,0.0,0.0
37206,2,2.0,1.0
37207,3,0.0,0.0
37208,1,3.0,3.0
37209,2,1.0,0.5
37210,2,7.0,3.5
37211,4,1.0,0.25
37212,2,0.0,0.0
37214,2,0.0,0.0
37215,1,3.0,3.0
37216,1,0.0,0.0
37217,1,1.0,1.0
37218,1,0.0,0.0
37221,2,2.0,1.0
37013,3,5.0,1.6666666666666667
37072,2,0.0,0.0
37076,1,0.0,0.0
37080,1,0.0,0.0
37115,2,3.0,1.5
37138,1,3.0,3.0
37203,2,3.0,1.5
37204,1,3.0,3.0
37205,2,0.0,0.0
37206,2,1.0,0.5
37207,3,0.0,0.0
37208,1,5.0,5.0
37209,2,2.0,1.0
37210,2,5.0,2.5
37211,4,2.0,0.5
37212,2,0.0,0.0
37214,2,2.0,1.0
37215,1,3.0,3.0
37216,1,0.0,0.0
37217,1,3.0,3.0
37218,1,0.0,0.0
37221,2,2.0,1.0
37013,3,7.0,2.3333333333333335
37072,2,2.0,1.0
37076,1,0.0,0.0
37080,1,0.0,0.0
37115,2,3.0,1.5
37138,1,3.0,3.0
37203,2,4.0,2.0
37204,1,3.0,3.0
37205,2,0.0,0.0
37206,2,1.0,0.5
37207,3,0.0,0.0
37208,1,5.0,5.0
37209,2,2.0,1.0
37210,2,5.0,2.5
37211,4,2.0,0.5
37212,2,0.0,0.0
37214,2,2.0,1.0
37215,1,3.0,3.0
37216,1,0.0,0.0
37217,1,3.0,3.0
37218,1,0.0,0.0
37221,2,2.0,1.0
37013,3,7.0,2.3333333333333335
37072,2,2.0,1.0
37076,1,0.0,0.0
37080,1,0.0,0.0
37115,2,3.0,1.5
37138,1,2.0,2.0
37203,2,3.0,1.5
37204,1,1.0,1.0
37205,2,2.0,1.0
37206,2,1.0,0.5
37207,3,0.0,0.0
37208,1,7.0,7.0
37209,2,0.0,0.0
37210,2,2.0,1.0
37211,4,2.0,0.5
37212,2,0.0,0.0
37214,2,2.0,1.0
37215,1,3.0,3.0
37216,1,0.0,0.0
37217,1,2.0,2.0
37218,1,2.0,2.0
37221,2,3.0,1.5
37013,3,6.0,2.0
37072,2,2.0,1.0
37076,1,0.0,0.0
37080,1,0.0,0.0
37115,2,2.0,1.0
37138,1,3.0,3.0
37203,2,8.0,4.0
37204,1,1.0,1.0
37205,2,2.0,1.0
37206,2,1.0,0.5
37207,3,0.0,0.0
37208,1,2.0,2.0
37209,2,0.0,0.0
37210,2,7.0,3.5
37211,4,2.0,0.5
37212,2,0.0,0.0
37214,2,4.0,2.0
37215,1,3.0,3.0
37216,1,0.0,0.0
37217,1,2.0,2.0
37218,1,2.0,2.0
37221,2,3.0,1.5
