zip,num_stations,num_incidents,incidents_to_stations_ratio,timestamp
37013,3,2.0,0.6666666666666666,Nov-21hr-23min
37072,2,2.0,1.0,Nov-21hr-23min
37076,1,2.0,2.0,Nov-21hr-23min
37080,1,0.0,0.0,Nov-21hr-23min
37115,2,2.0,1.0,Nov-21hr-23min
37138,1,0.0,0.0,Nov-21hr-23min
37203,2,4.0,2.0,Nov-21hr-23min
37204,1,0.0,0.0,Nov-21hr-23min
37205,2,0.0,0.0,Nov-21hr-23min
37206,2,2.0,1.0,Nov-21hr-23min
37207,3,4.0,1.3333333333333333,Nov-21hr-23min
37208,1,0.0,0.0,Nov-21hr-23min
37209,2,0.0,0.0,Nov-21hr-23min
37210,2,0.0,0.0,Nov-21hr-23min
37211,4,6.0,1.5,Nov-21hr-23min
37212,2,0.0,0.0,Nov-21hr-23min
37214,2,3.0,1.5,Nov-21hr-23min
37215,1,0.0,0.0,Nov-21hr-23min
37216,1,0.0,0.0,Nov-21hr-23min
37217,1,2.0,2.0,Nov-21hr-23min
37218,1,0.0,0.0,Nov-21hr-23min
37221,2,0.0,0.0,Nov-21hr-23min
37013,3,2.0,0.6666666666666666,Nov-21hr-28min
37072,2,2.0,1.0,Nov-21hr-28min
37076,1,2.0,2.0,Nov-21hr-28min
37080,1,0.0,0.0,Nov-21hr-28min
37115,2,2.0,1.0,Nov-21hr-28min
37138,1,0.0,0.0,Nov-21hr-28min
37203,2,4.0,2.0,Nov-21hr-28min
37204,1,0.0,0.0,Nov-21hr-28min
37205,2,0.0,0.0,Nov-21hr-28min
37206,2,2.0,1.0,Nov-21hr-28min
37207,3,4.0,1.3333333333333333,Nov-21hr-28min
37208,1,0.0,0.0,Nov-21hr-28min
37209,2,0.0,0.0,Nov-21hr-28min
37210,2,0.0,0.0,Nov-21hr-28min
37211,4,6.0,1.5,Nov-21hr-28min
37212,2,0.0,0.0,Nov-21hr-28min
37214,2,3.0,1.5,Nov-21hr-28min
37215,1,0.0,0.0,Nov-21hr-28min
37216,1,0.0,0.0,Nov-21hr-28min
37217,1,2.0,2.0,Nov-21hr-28min
37218,1,0.0,0.0,Nov-21hr-28min
37221,2,0.0,0.0,Nov-21hr-28min
